	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Organism	abbreviation	accession
GCA_000014865.1	PRJNA262	SAMN02598452		representative genome	156889	1124597.0	Magnetococcus marinus MC-1	strain=MC-1		latest	complete genome	Major	full	2006/11/08	ASM1486v1	US DOE Joint Genome Institute	GCF_000014865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/865/GCA_000014865.1_ASM1486v1		assembly from type material	Magnetococcus_marinus	M_marinus	SAMN02598452
GCA_000015125.1	PRJNA12609	SAMN02598273		representative genome	290317	1096.0	Chlorobium phaeobacteroides DSM 266	strain=DSM 266		latest	complete genome	Major	full	2006/12/11	ASM1512v1	US DOE Joint Genome Institute	GCF_000015125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1		assembly from type material	Chl_290317.9	Chl4	SAMN02598273
GCA_000016085.1	PRJNA12607	SAMN02598271		representative genome	290318	1094.0	Chlorobium phaeovibrioides DSM 265	strain=DSM 265		latest	complete genome	Major	full	2007/04/12	ASM1608v1	US DOE Joint Genome Institute	GCF_000016085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/085/GCA_000016085.1_ASM1608v1			Chl_290318.6	Chl2	SAMN02598271
GCA_000016185.1	PRJNA18307	SAMN02603908		representative genome	414684	34018.0	Rhodospirillum centenum SW	strain=SW; ATCC 51521		latest	complete genome	Major	full	2010/02/17	ASM1618v1	TGen	GCF_000016185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/185/GCA_000016185.1_ASM1618v1			Rhodospirillum_centenum	R_centenum	SAMN02603908
GCA_000017805.1	PRJNA13462	SAMN02598306		representative genome	383372	120962.0	Roseiflexus castenholzii DSM 13941	strain=DSM 13941		latest	complete genome	Major	full	2007/08/23	ASM1780v1	US DOE Joint Genome Institute	GCF_000017805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/805/GCA_000017805.1_ASM1780v1		assembly from type material	Roseiflexus_castenholzii	R_castenho	SAMN02598306
GCA_000018105.1	PRJNA12997	SAMN02604308		representative genome	329726	155978.0	Acaryochloris marina MBIC11017	strain=MBIC11017		latest	complete genome	Major	full	2007/10/16	ASM1810v1	Washington University	GCF_000018105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/105/GCA_000018105.1_ASM1810v1		assembly from type material	Acaryochloris_marina_MBIC11017	A_marina	SAMN02604308
GCA_000018865.1	PRJNA59	SAMN02598539		reference genome	324602	1108.0	Chloroflexus aurantiacus J-10-fl	strain=J-10-fl		latest	complete genome	Major	full	2007/12/20	ASM1886v1	US DOE Joint Genome Institute	GCF_000018865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/865/GCA_000018865.1_ASM1886v1		assembly from type material	Chloroflexus_aurantiacus	C_aurantia	SAMN02598539
GCA_000019725.1	PRJNA18817	SAMN00000277		representative genome	426355	31998.0	Methylobacterium radiotolerans JCM 2831	strain=JCM 2831		latest	complete genome	Major	full	2008/03/21	ASM1972v1	US DOE Joint Genome Institute	GCF_000019725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/725/GCA_000019725.1_ASM1972v1		assembly from type material	Methylobacterium_radiotolerans	M_radiotol	SAMN00000277
GCA_000020465.1	PRJNA12606	SAMN02598270		representative genome	290315	1092.0	Chlorobium limicola DSM 245	strain=DSM 245		latest	complete genome	Major	full	2008/06/04	ASM2046v1	US DOE Joint Genome Institute	GCF_000020465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/465/GCA_000020465.1_ASM2046v1		assembly from type material	Chl_290315.5	Chl6	SAMN02598270
GCA_000020505.1	PRJNA29213	SAMN02598460		representative genome	517417	274539.0	Chlorobaculum parvum NCIB 8327	strain=NCIB 8327		latest	complete genome	Major	full	2008/06/27	ASM2050v1	US DOE Joint Genome Institute	GCF_000020505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/505/GCA_000020505.1_ASM2050v1			Chl_517417.5 (Chlorobaculum_parvum)	Chl5	SAMN02598460
GCA_000020525.1	PRJNA29215	SAMN02598461		representative genome	517418	100716.0	Chloroherpeton thalassium ATCC 35110	strain=ATCC 35110		latest	complete genome	Major	full	2008/06/27	ASM2052v1	US DOE Joint Genome Institute	GCF_000020525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/525/GCA_000020525.1_ASM2052v1		assembly from type material	Chl_517418.5 (Chloroherpeton_thalassium)	C_thalassi	SAMN02598461
GCA_000020545.1	PRJNA12608	SAMN02598272		representative genome	331678	1096.0	Chlorobium phaeobacteroides BS1	strain=BS1		latest	complete genome	Major	full	2008/06/09	ASM2054v1	US DOE Joint Genome Institute	GCF_000020545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/545/GCA_000020545.1_ASM2054v1			Chl_331678.5	Chl1	SAMN02598272
GCA_000020625.1	PRJNA12749	SAMN02598281		representative genome	290512	1102.0	Prosthecochloris aestuarii DSM 271	strain=DSM 271		latest	complete genome	Major	full	2008/07/18	ASM2062v1	US DOE Joint Genome Institute	GCF_000020625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/625/GCA_000020625.1_ASM2062v1		assembly from type material	Chl_290512.6 (Prosthecochloris_aestuarii)	Chl9	SAMN02598281
GCA_000020645.1	PRJNA13011	SAMN02598283		representative genome	324925	34090.0	Pelodictyon phaeoclathratiforme BU-1	strain=BU-1		latest	complete genome	Major	full	2008/07/18	ASM2064v1	US DOE Joint Genome Institute	GCF_000020645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/645/GCA_000020645.1_ASM2064v1		assembly from type material	Chl_324925.5	Chl7	SAMN02598283
GCA_000021685.1	PRJNA32569	SAMN02603430		representative genome	309801	500.0	Thermomicrobium roseum DSM 5159	strain=DSM 5159		latest	complete genome	Major	full	2009/01/22	ASM2168v1	J Craig Venter Institute	GCF_000021685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/685/GCA_000021685.1_ASM2168v1		assembly from type material	Thermomicrobium_roseum	T_roseum	SAMN02603430
GCA_000022045.1	PRJNA28337	SAMN00000655		na	395961	395961.0	Cyanothece sp. PCC 7425	strain=PCC 7425		latest	complete genome	Major	full	2009/01/09	ASM2204v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000022045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/045/GCA_000022045.1_ASM2204v1			Cyanothece_sp_PCC_7425	C_sp_PCC74	SAMN00000655
GCA_000024525.1	PRJNA28817	SAMN00002598		na	504472	108.0	Spirosoma linguale DSM 74	strain=DSM 74		latest	complete genome	Major	full	2010/01/13	ASM2452v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000024525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/525/GCA_000024525.1_ASM2452v1	missing rRNA genes	assembly from type material	Spirosoma_linguale	S_linguale	SAMN00002598
GCA_000024985.1	PRJNA21087	SAMN02598446		representative genome	479434	2057.0	Sphaerobacter thermophilus DSM 20745	strain=DSM 20745		latest	complete genome	Major	full	2009/11/23	ASM2498v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000024985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/985/GCA_000024985.1_ASM2498v1		assembly from type material	Sphaerobacter_thermophilus	Sp_thermop	SAMN02598446
GCA_000092285.1	PRJNA37277	SAMN02598513		representative genome	509190	88688.0	Caulobacter segnis ATCC 21756	strain=ATCC 21756		latest	complete genome	Major	full	2010/04/30	ASM9228v1	US DOE Joint Genome Institute	GCF_000092285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/285/GCA_000092285.1_ASM9228v1		assembly from type material	Caulobacter_segnis	C_segnis	SAMN02598513
GCA_000143165.1	PRJNA40221	SAMN02598529		representative genome	552811	552810.0	Dehalogenimonas lykanthroporepellens BL-DC-9	strain=BL-DC-9		latest	complete genome	Major	full	2010/06/25	ASM14316v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000143165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/165/GCA_000143165.1_ASM14316v1		assembly from type material	Dehalogenimonas_lykanthroporepellens	D_lykanthr	SAMN02598529
GCA_000147335.1	PRJNA28535	SAMN00000663		na	497965	497965.0	Cyanothece sp. PCC 7822	strain=PCC 7822		latest	complete genome	Major	full	2010/09/15	ASM14733v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000147335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/335/GCA_000147335.1_ASM14733v1			Cyanothece_sp_PCC_7822	C_sp_PCC_7	SAMN00000663
GCA_000152825.2	PRJNA13509	SAMN02603918		representative genome	314260	208216.0	Parvularcula bermudensis HTCC2503	strain=HTCC2503		latest	complete genome	Major	full	2010/08/16	ASM15282v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCF_000152825.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/825/GCA_000152825.2_ASM15282v2		assembly from type material	Parvularcula_bermudensis	Pa_bermude	SAMN02603918
GCA_000153725.1	PRJNA13574	SAMN02436105	AATQ00000000.1	representative genome	314265	344736.0	Salipiger bermudensis HTCC2601	strain=HTCC2601		latest	scaffold	Major	full	2006/10/23	ASM15372v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCF_000153725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/725/GCA_000153725.1_ASM15372v1		assembly from type material	Pelagibaca_bermudensis	Pe_bermude	SAMN02436105
GCA_000154725.1	PRJNA19315	SAMN02436147	ABIB00000000.1	representative genome	391587	221066.0	Kordia algicida OT-1	strain=OT-1		latest	scaffold	Major	full	2007/11/30	ASM15472v1	The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	GCF_000154725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/725/GCA_000154725.1_ASM15472v1		assembly from type material	Kordia_algicida	K_algicida	SAMN02436147
GCA_000155555.1	PRJNA19325	SAMN02436227	ABRS00000000.1	representative genome	118168	64178.0	Coleofasciculus chthonoplastes PCC 7420	strain=PCC 7420		latest	scaffold	Major	full	2008/08/15	ASM15555v1	The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project	GCF_000155555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/555/GCA_000155555.1_ASM15555v1			Coleofasciculus_chthonoplastes_PCC_7420	C_chthonop	SAMN02436227
GCA_000157015.1	PRJNA32433	SAMN02463689	ABZX00000000.1	na	457424	817.0	Bacteroides fragilis 3_1_12	strain=3_1_12		latest	scaffold	Major	full	2009/02/05	ASM15701v1	Broad Institute	GCF_000157015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/015/GCA_000157015.1_ASM15701v1			Bacteroides_fragilis	B_fragilis	SAMN02463689
GCA_000183135.1	PRJNA42009	SAMN00016731		representative genome	694427	185300.0	Paludibacter propionicigenes WB4	strain=WB4		latest	complete genome	Major	full	2010/11/23	ASM18313v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000183135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/135/GCA_000183135.1_ASM18313v1		assembly from type material	Paludibacter_propionicigenes	P_propioni	SAMN00016731
GCA_000183425.1	PRJNA37901	SAMN00138949		representative genome	643867	1006.0	Marivirga tractuosa DSM 4126	strain=DSM 4126		latest	complete genome	Major	full	2010/11/30	ASM18342v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000183425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/425/GCA_000183425.1_ASM18342v1		assembly from type material	Marivirga_tractuosa	M_tractuos	SAMN00138949
GCA_000194605.1	PRJNA47603	SAMN00713599		representative genome	755732	191579.0	Fluviicola taffensis DSM 16823	strain=DSM 16823		latest	complete genome	Major	full	2011/03/31	ASM19460v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000194605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/605/GCA_000194605.1_ASM19460v1		assembly from type material	Fluviicola_taffensis	F_taffensi	SAMN00713599
GCA_000199675.1	PRJNA60099	SAMD00061114		representative genome	926569	167964.0	Anaerolinea thermophila UNI-1	strain=UNI-1		latest	complete genome	Major	full	2011/01/24	ASM19967v1	National Institute of Technology and Evaluation	GCF_000199675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/199/675/GCA_000199675.1_ASM19967v1		assembly from type material	Anaerolinea_thermophila	A_thermoph	SAMD00061114
GCA_000236705.1	PRJNA65297	SAMN02261417		representative genome	926562	253245.0	Owenweeksia hongkongensis DSM 17368	strain=DSM 17368		latest	complete genome	Major	full	2011/12/05	ASM23670v1	JGI	GCF_000236705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/236/705/GCA_000236705.1_ASM23670v1		assembly from type material	Owenweeksia_hongkongensis	O_hongkong	SAMN02261417
GCA_000243115.3	PRJNA61269	SAMN02261390		representative genome	929713	446683.0	Niabella soli DSM 19437	strain=JS13-8; DSM 19437		latest	complete genome	Major	full	2014/01/03	ASM24311v3	JGI	GCF_000243115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/115/GCA_000243115.3_ASM24311v3		assembly from type material	Niabella_soli	N_soli	SAMN02261390
GCA_000258405.1	PRJNA61811	SAMN02603949		representative genome	945713	591197.0	Ignavibacterium album JCM 16511	strain=JCM 16511		latest	complete genome	Major	full	2012/04/10	ASM25840v1	The Pennsylvania State University	GCF_000258405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/405/GCA_000258405.1_ASM25840v1		assembly from type material	Ignavibacterium_album	I_album	SAMN02603949
GCA_000277305.1	PRJNA65221	SAMN02603530		na	1003202	785.0	Rickettsia typhi str. B9991CWPP	strain=B9991CWPP		latest	complete genome	Major	full	2012/03/21	ASM27730v1	Los Alamos National Lab	GCF_000277305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/305/GCA_000277305.1_ASM27730v1			Rickettsia_typhi	R_typhi	SAMN02603530
GCA_000279145.1	PRJNA165865	SAMN02603097		representative genome	1191523	1134405.0	Melioribacter roseus P3M-2	strain=P3M-2		latest	complete genome	Major	full	2012/07/18	ASM27914v1	Centre Bioengineering RAS	GCF_000279145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/279/145/GCA_000279145.1_ASM27914v1		assembly from type material	Melioribacter_roseus	M_roseus	SAMN02603097
GCA_000281175.1	PRJDB47	SAMD00061033		representative genome	926550	133453.0	Caldilinea aerophila DSM 14535 = NBRC 104270	strain=DSM 14535		latest	complete genome	Major	full	2012/03/28	ASM28117v1	National Institute of Technology and Evaluation	GCF_000281175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/175/GCA_000281175.1_ASM28117v1		assembly from type material	Caldilinea_aerophila	C_aerophil	SAMD00061033
GCA_000297255.1	PRJEA78953	SAMEA2272167	CAGS00000000.1	representative genome	1129897	1206749.0	Nitrolancea hollandica Lb	strain=Lb		latest	contig	Major	full	2012/06/06	ASM29725v1	CEA IG Genoscope	GCF_000297255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/255/GCA_000297255.1_ASM29725v1		assembly from type material	Nitrolancetus_hollandicus	N_hollandi	SAMEA2272167
GCA_000316115.1	PRJNA43137	SAMN02256520	ALVN00000000.1	na	102129	102129.0	Leptolyngbya sp. PCC 7375	strain=PCC 7375		latest	scaffold	Major	full	2012/12/03	ASM31611v1	DOE Joint Genome Institute	GCF_000316115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/115/GCA_000316115.1_ASM31611v1			Leptolyngbya_sp_PCC_7375	L_PCC7375	SAMN02256520
GCA_000316515.1	PRJNA158695	SAMN02261330		representative genome	292564	59930.0	Cyanobium gracile PCC 6307	strain=PCC 6307		latest	complete genome	Major	full	2012/12/04	ASM31651v1	JGI	GCF_000316515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/515/GCA_000316515.1_ASM31651v1		assembly from type material	Cyanobium_gracile_PCC_6307	C_gracile_	SAMN02261330
GCA_000316645.1	PRJNA158707	SAMN02261333		na	28072	28072.0	Nostoc sp. PCC 7524	strain=PCC 7524		latest	complete genome	Major	full	2012/12/04	ASM31664v1	JGI	GCF_000316645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/645/GCA_000316645.1_ASM31664v1			Nostoc_sp_PCC_7524	N_PCC7524	SAMN02261333
GCA_000316665.1	PRJNA63147	SAMN02232049		na	373994	373994.0	Rivularia sp. PCC 7116	strain=PCC 7116		latest	complete genome	Major	full	2012/12/04	ASM31666v1	DOE Joint Genome Institute	GCF_000316665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/665/GCA_000316665.1_ASM31666v1			Rivularia_sp_PCC_7116	R_PCC7116	SAMN02232049
GCA_000317065.1	PRJNA158713	SAMN02261336		na	82654	82654.0	Pseudanabaena sp. PCC 7367	strain=PCC 7367		latest	complete genome	Major	full	2012/12/05	ASM31706v1	JGI	GCF_000317065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/065/GCA_000317065.1_ASM31706v1			Pseudanabaena_sp_PCC_7367	P_PCC7367	SAMN02261336
GCA_000317125.1	PRJNA38119	SAMN02261359		representative genome	251229	54299.0	Chroococcidiopsis thermalis PCC 7203	strain=PCC 7203		latest	complete genome	Major	full	2012/12/05	ASM31712v1	JGI	GCF_000317125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/125/GCA_000317125.1_ASM31712v1		assembly from type material	Chroococcidiopsis_thermalis_PCC_7203	Ch_thermal	SAMN02261359
GCA_000317575.1	PRJNA158877	SAMN02261352		representative genome	111780	102116.0	Stanieria cyanosphaera PCC 7437	strain=PCC 7437		latest	complete genome	Major	full	2012/12/06	ASM31757v1	JGI	GCF_000317575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/575/GCA_000317575.1_ASM31757v1		assembly from type material	Stanieria_cyanosphaera_PCC_7437	S_cyanosph	SAMN02261352
GCA_000332175.1	PRJNA158731	SAMN02261339	ALVK00000000.1	na	118173	118173.0	Pseudanabaena sp. PCC 6802	strain=PCC 6802		latest	scaffold	Major	full	2013/01/22	ASM33217v1	JGI	GCF_000332175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/175/GCA_000332175.1_ASM33217v1			Pseudanabaena_sp_PCC_6802	P_PCC6802	SAMN02261339
GCA_000447375.1	PRJNA176121	SAMN02471026	AVCQ00000000.1	na	1355388	1117645.0	Elizabethkingia anophelis 502	strain=502		latest	contig	Major	full	2013/08/15	C874_spades	University of Birmingham	GCF_000447375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/375/GCA_000447375.1_C874_spades			Elizabethkingia_meningoseptica	E_meningos	SAMN02471026
GCA_000484535.1	PRJNA162637	SAMN02604186		representative genome	1183438	1416614.0	Gloeobacter kilaueensis JS1	strain=JS1		latest	complete genome	Major	full	2013/10/28	ASM48453v1	University of Hawaii at Manoa	GCF_000484535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/535/GCA_000484535.1_ASM48453v1		assembly from type material	Gloeobacter_kilaueensis	G_kilaueen	SAMN02604186
GCA_000568425.1	PRJNA200358	SAMN02952948	ARZX00000000.1	na	1328323	935699.0	Cellulophaga geojensis KL-A	strain=KL-A		latest	contig	Major	full	2014/02/11	KLA	State Oceanic Administration	GCF_000568425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/425/GCA_000568425.1_KLA			Cellulophaga_geojensis	C_geojensi	SAMN02952948
GCA_000723505.1	PRJEB5062	SAMEA3139033		representative genome	1433126	1433126.0	Mucinivorans hirudinis			latest	complete genome	Major	full	2014/06/15	Mucivorans_M3_Nelson-Bomar-Fixed	UCONNMISEQ	GCF_000723505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/505/GCA_000723505.1_Mucivorans_M3_Nelson-Bomar-Fixed			Rikenellaceae_bacterium	R_bacteriu	SAMEA3139033
GCA_000736515.1	PRJNA236114	SAMN02595509	JDSI00000000.1	representative genome	1453500	884107.0	Schleiferia thermophila str. Yellowstone	strain=Yellowstone	OS-Red	latest	contig	Major	full	2014/07/30	ASM73651v1	The Pennsylvania State University	GCF_000736515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/736/515/GCA_000736515.1_ASM73651v1			Schleiferia_thermophila	Sc_thermop	SAMN02595509
GCA_000737575.1	PRJNA207983	SAMN02202184		na	585423	585423.0	Synechococcus sp. KORDI-49	strain=KORDI-49		latest	complete genome	Major	full	2014/08/04	ASM73757v1	Korea Institute of Ocean Science and Technology	GCF_000737575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/575/GCA_000737575.1_ASM73757v1			Synechococcus_sp_KORDI-49	S_KORDI49	SAMN02202184
GCA_000757385.1	PRJNA260729	SAMN03025770	JRHH00000000.1	representative genome	1453498	245.0	Flavobacterium aquatile LMG 4008 = ATCC 11947	strain=LMG 4008		latest	contig	Major	full	2014/09/23	ASM75738v1	GCAT-SEEK	GCF_000757385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/385/GCA_000757385.1_ASM75738v1		assembly from type material	Flavobacterium_aquatile	F_aquatile	SAMN03025770
GCA_000757865.1	PRJNA246696	SAMN02769563		na	1501269	1501269.0	Prochlorococcus sp. MIT 0801	strain=MIT 0801		latest	complete genome	Major	full	2014/09/25	ASM75786v1	MIT	GCF_000757865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/865/GCA_000757865.1_ASM75786v1			Prochlorococcus_sp_MIT_0801	P_MIT0801	SAMN02769563
GCA_000812965.1	PRJNA265077	SAMN03145168	JSYN00000000.1	na	1069985	1069985.0	Pedobacter kyungheensis	strain=KACC 16221		latest	contig	Major	full	2014/12/31	ASM81296v1	GCAT-SEEK	GCF_000812965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/965/GCA_000812965.1_ASM81296v1		assembly from type material	Pedobacter_kyungheensis	P_kyunghee	SAMN03145168
